subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4001	3/18/22 21:16	3/18/22 21:16			3/18/22 21:16	3/18/22 21:16					3/18/22 21:16			12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4002	3/24/22 12:17	3/24/22 12:34	3/24/22 12:17		3/24/22 12:35	3/21/22 19:24	3/24/22 12:26	3/24/22 12:34	3/24/22 12:25		2022-04-19 12:49:19	3/24/22 12:32		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4005	3/21/22 18:31	3/21/22 18:31	3/1/22 18:21		3/21/22 18:31	3/21/22 18:31	3/1/22 18:21	3/1/22 18:21	3/1/22 18:21		2022-04-19 12:26:24	3/1/22 18:21		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4008	3/24/22 10:56	3/24/22 11:14	3/24/22 10:56		3/24/22 11:15	3/24/22 11:16	3/24/22 10:59	3/24/22 10:58	3/24/22 11:07		2022-04-19 12:51:36	3/24/22 11:14		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4009	3/21/22 18:20	3/21/22 18:20	3/1/22 18:23		3/21/22 18:20	3/21/22 18:20	3/1/22 18:24	3/1/22 18:24	3/1/22 18:24		2022-04-19 12:25:58	3/1/22 18:24		12/20/21 9:17	12/20/21 9:17	11/22/21 11:12
sub-4011														12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4012	3/21/22 19:28	3/21/22 19:28	3/1/22 17:44		3/21/22 19:28	3/21/22 19:28	3/1/22 17:44	3/1/22 17:44	3/1/22 17:44			3/1/22 17:44		12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4015	3/1/22 18:20		3/1/22 18:20				3/1/22 18:20	3/1/22 18:20	3/1/22 18:20			3/1/22 18:20		12/20/21 9:18	12/20/21 9:18	11/22/21 11:12
sub-4019	3/21/22 19:05	3/21/22 19:05	3/1/22 18:44		3/21/22 19:05	3/21/22 19:05	3/1/22 18:44	3/1/22 18:44	3/1/22 18:44			3/1/22 18:44		12/20/21 9:18	12/20/21 9:18	11/22/21 11:21
sub-4020	3/21/22 19:06	3/21/22 19:06	3/3/22 0:35		3/21/22 19:06	3/21/22 19:06	3/3/22 0:36	3/3/22 0:35	3/3/22 0:35			3/3/22 0:35		12/20/21 9:17	12/20/21 9:17	11/22/21 11:20
sub-4021	3/2/22 22:20		3/2/22 22:20				3/2/22 22:20	3/2/22 22:20	3/2/22 22:20			3/2/22 22:20				11/22/21 11:21
sub-4022	3/2/22 12:02		3/2/22 12:02				3/2/22 12:02	3/2/22 12:02	3/2/22 12:02			3/2/22 12:02				11/22/21 11:20
sub-4024	3/2/22 12:31		3/2/22 12:31				3/2/22 12:32	3/2/22 12:31	3/2/22 12:32			3/2/22 12:32		12/20/21 9:18	12/20/21 9:18	11/22/21 11:21
sub-4028	3/2/22 13:22		3/2/22 13:22				3/2/22 13:22	3/2/22 13:22	3/2/22 13:22			3/2/22 13:22				11/22/21 11:21
sub-4030	3/2/22 12:46		3/2/22 12:46				3/2/22 12:46	3/2/22 12:46	3/2/22 12:46			3/2/22 12:46				11/22/21 11:21
sub-4033	3/2/22 12:48		3/2/22 12:48				3/2/22 12:48	3/2/22 12:48	3/2/22 12:49			3/2/22 12:48		12/20/21 9:17	12/20/21 9:17	11/22/21 11:21
sub-4034	3/2/22 13:22		3/2/22 13:22				3/2/22 13:22	3/2/22 13:22	3/2/22 13:22			3/2/22 13:22		12/20/21 9:17	12/20/21 9:17	11/29/21 13:27
sub-4036	3/2/22 13:09		3/2/22 13:09				3/2/22 13:09	3/2/22 13:09	3/2/22 13:09			3/2/22 13:09		12/20/21 9:18	12/20/21 9:18	11/29/21 13:26
sub-4037	3/2/22 12:12		3/2/22 12:12				3/2/22 12:13	3/2/22 12:12	3/2/22 12:12			3/2/22 12:13		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4038	3/3/22 0:08		3/3/22 0:08				3/3/22 0:08	3/3/22 0:08	3/3/22 0:08			3/3/22 0:08		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4042	3/2/22 23:30		3/2/22 23:30				3/2/22 23:30	3/2/22 23:30	3/2/22 23:30			3/2/22 23:30		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4043	3/2/22 20:35		3/2/22 20:35				3/2/22 20:35					3/2/22 20:35		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4044	3/3/22 0:18		3/3/22 0:18				3/3/22 0:18	3/3/22 0:18	3/3/22 0:18			3/3/22 0:18		12/20/21 9:18	12/20/21 9:18	11/29/21 13:27
sub-4045	3/2/22 23:22		3/2/22 23:22				3/2/22 23:22	3/2/22 23:22	3/2/22 23:22			3/2/22 23:22		12/20/21 9:17	12/20/21 9:17	11/29/21 13:27
sub-4046	3/3/22 0:13		3/3/22 0:13				3/3/22 0:13	3/3/22 0:13	3/3/22 0:13			3/3/22 0:13		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4047	3/2/22 22:09		3/2/22 22:09				3/2/22 22:09	3/2/22 22:09	3/2/22 22:09			3/2/22 22:09		12/20/21 9:18	12/20/21 9:18	11/29/21 13:45
sub-4049	3/3/22 0:11		3/3/22 0:11				3/3/22 0:12	3/3/22 0:12	3/3/22 0:12			3/3/22 0:12		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4050	3/24/22 12:00		3/24/22 12:00				3/24/22 12:17	3/24/22 12:08	3/24/22 12:09			3/24/22 12:17		12/20/21 9:17	12/20/21 9:17	11/29/21 13:46
sub-4051	3/3/22 0:12		3/3/22 0:12				3/3/22 0:12	3/3/22 0:12	3/3/22 0:12			3/3/22 0:12		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4052	3/2/22 23:49		3/2/22 23:49				3/2/22 23:49	3/2/22 23:49	3/2/22 23:49			3/2/22 23:49		12/20/21 9:18	12/20/21 9:18	11/29/21 13:46
sub-4055																2021-11-29 13:46:37
sub-4057	2022-03-02 22:20:21		2022-03-02 22:20:21				2022-03-02 22:20:22	2022-03-02 22:20:30	2022-03-02 22:20:28			2022-03-02 22:20:23		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 13:56:36
sub-4059	2022-03-02 20:52:46		2022-03-02 20:52:46				2022-03-02 20:52:55	2022-03-02 20:52:48	2022-03-02 20:52:50			2022-03-02 20:52:50				2021-11-29 13:56:05
sub-4062	2022-03-02 23:24:29		2022-03-02 23:24:30				2022-03-02 23:24:33	2022-03-02 23:24:34	2022-03-02 23:24:36			2022-03-02 23:24:36		2021-12-20 09:18:00	2021-12-20 09:17:59	2021-11-29 13:56:10
sub-4063														2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 13:55:53
sub-4064	2022-03-02 22:12:23		2022-03-02 22:12:23				2022-03-02 22:12:32	2022-03-02 22:12:25	2022-03-02 22:12:33			2022-03-02 22:12:26		2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 13:56:17
sub-4065	2022-03-03 00:03:40		2022-03-03 00:03:40				2022-03-03 00:03:43	2022-03-03 00:03:50	2022-03-03 00:03:42			2022-03-03 00:03:43				2021-11-29 13:56:32
sub-4066	2022-03-02 23:50:04		2022-03-02 23:50:04				2022-03-02 23:50:07	2022-03-02 23:50:06	2022-03-02 23:50:09			2022-03-02 23:50:09		2021-12-20 09:17:58	2021-12-20 09:17:58	2021-11-29 13:56:23
sub-4067	2022-03-02 23:25:45		2022-03-02 23:25:45				2022-03-02 23:25:49	2022-03-02 23:25:47	2022-03-02 23:25:57			2022-03-02 23:25:50				2021-11-29 13:56:24
sub-4070	2022-03-03 13:23:20		2022-03-03 13:23:20				2022-03-03 13:23:23	2022-03-03 13:23:30	2022-03-03 13:23:21			2022-03-03 13:23:24		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:06:20
sub-4077	2022-03-03 13:15:27		2022-03-03 13:15:27				2022-03-03 13:15:28	2022-03-03 13:15:29	2022-03-03 13:15:32			2022-03-03 13:15:32		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:06:11
sub-4080	2022-03-03 14:24:40		2022-03-03 14:24:40				2022-03-03 14:24:44	2022-03-03 14:24:45	2022-03-03 14:24:42			2022-03-03 14:24:45		2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 14:06:10
sub-4081	2022-03-03 13:06:31		2022-03-03 13:06:31				2022-03-03 13:06:35	2022-03-03 13:06:44	2022-03-03 13:06:34			2022-03-03 13:06:36		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 14:06:13
sub-4082	2022-03-03 11:56:29		2022-03-03 11:56:30				2022-03-03 11:56:44	2022-03-03 11:56:36	2022-03-03 11:56:34			2022-03-03 11:56:37		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 14:06:18
sub-4083	2022-03-03 13:16:37		2022-03-03 13:16:37				2022-03-03 13:16:42	2022-03-03 13:16:41	2022-03-03 13:16:39			2022-03-03 13:16:42				2021-11-29 14:06:15
sub-4084	2022-03-03 13:37:55		2022-03-03 13:37:55				2022-03-03 13:37:58	2022-03-03 13:38:06	2022-03-03 13:38:04			2022-03-03 13:37:58		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:06:26
sub-4085	2022-03-03 14:44:00		2022-03-03 14:44:00				2022-03-03 14:44:10	2022-03-03 14:44:04	2022-03-03 14:44:02			2022-03-03 14:44:04		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 14:06:34
sub-4086	2022-03-03 19:47:06		2022-03-03 19:47:06				2022-03-03 19:47:10	2022-03-03 19:47:09	2022-03-03 19:47:07			2022-03-03 19:47:11		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 14:16:16
sub-4088	2022-03-03 18:57:37		2022-03-03 18:57:37				2022-03-03 18:57:40	2022-03-03 18:57:47	2022-03-03 18:57:39			2022-03-03 18:57:41		2021-12-20 09:17:58	2021-12-20 09:17:58	2021-11-29 14:16:22
sub-4090																2021-11-29 14:15:58
sub-4091	2022-03-24 10:45:48		2022-03-24 10:45:49				2022-03-24 10:47:37	2022-03-24 10:49:05	2022-03-24 10:56:29			2022-03-24 10:55:11		2021-12-20 09:17:57	2021-12-20 09:17:57	2021-11-29 14:16:06
sub-4096	2022-03-03 20:30:29		2022-03-03 20:30:29				2022-03-03 20:30:34	2022-03-03 20:30:31	2022-03-03 20:30:35			2022-03-03 20:30:35		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 14:16:10
sub-4097	2022-03-03 18:52:52		2022-03-03 18:52:52				2022-03-03 18:53:03	2022-03-03 18:52:53	2022-03-03 18:52:55			2022-03-03 18:52:56		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 14:16:36
sub-4101	2022-03-03 19:33:37		2022-03-03 19:33:37				2022-03-03 19:33:41	2022-03-03 19:33:42	2022-03-03 19:33:39			2022-03-03 19:33:42		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 14:16:37
sub-4102	2022-03-03 19:58:05		2022-03-03 19:58:05				2022-03-03 19:58:08	2022-03-03 19:58:15	2022-03-03 19:58:07			2022-03-03 19:58:08		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 14:16:42
sub-4104	2022-03-03 19:27:44		2022-03-03 19:27:44				2022-03-03 19:27:49	2022-03-03 19:27:50	2022-03-03 19:27:48			2022-03-03 19:27:50		2021-12-20 09:17:59	2021-12-20 09:17:59	2021-11-29 14:28:36
sub-4106	2022-03-03 18:21:32		2022-03-03 18:21:32				2022-03-03 18:21:36	2022-03-03 18:21:34	2022-03-03 18:21:35			2022-03-03 18:21:36		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 14:29:07
sub-4107	2022-03-03 20:07:53		2022-03-03 20:07:54				2022-03-03 20:08:05	2022-03-03 20:07:57	2022-03-03 20:07:58			2022-03-03 20:07:58		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 14:29:11
sub-4108	2022-03-03 18:20:02		2022-03-03 18:20:02				2022-03-03 18:20:07	2022-03-03 18:20:05	2022-03-03 18:20:04			2022-03-03 18:20:07		2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 14:28:54
sub-4109	2022-03-03 19:09:40		2022-03-03 19:09:40				2022-03-03 19:09:46	2022-03-03 19:09:42	2022-03-03 19:09:45			2022-03-03 19:09:46		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:29:14
sub-4110	2022-03-03 19:03:38		2022-03-03 19:03:38				2022-03-03 19:03:41	2022-03-03 19:03:43	2022-03-03 19:03:39			2022-03-03 19:03:43		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:29:15
sub-4111	2022-03-03 18:15:25		2022-03-03 18:15:25				2022-03-03 18:15:27	2022-03-03 18:15:29	2022-03-03 18:15:30			2022-03-03 18:15:30		2021-12-20 09:17:57	2021-12-20 09:17:57	2021-11-29 14:29:16
sub-4114	2022-03-03 20:32:18		2022-03-03 20:32:18				2022-03-03 20:32:23	2022-03-03 20:32:20	2022-03-03 20:32:22			2022-03-03 20:32:23		2021-12-20 09:17:57	2021-12-20 09:17:58	2021-11-29 14:29:23
sub-4115	2022-03-04 13:29:31		2022-03-04 13:29:31				2022-03-04 13:29:40	2022-03-04 13:29:33	2022-03-04 13:29:34			2022-03-04 13:29:34		2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 14:36:35
