subjID	intersect_1	intersect_2	decon_1	decon_2	ashs_L	ashs_R	reface
sub-4001	True	False	True	True	True	True	True
sub-4002	True	False	True	True	True	True	True
sub-4005	True	False	True	True	True	True	True
sub-4008	True	False	True	True	True	True	True
sub-4009	True	False	True	True	True	True	True
sub-4011	True	False	True	False	True	True	True
sub-4012	True	False	True	True	True	True	True
sub-4015	False	False	False	True	True	True	True
sub-4019	True	False	True	True	True	True	True
sub-4020	False	False	True	True	True	True	True
sub-4021	False	False	True	True	True	True	True
sub-4022	True	False	True	True	False	False	True
sub-4024	True	False	True	True	True	True	True
sub-4028	True	False	True	True	False	False	True
sub-4030	True	False	True	True	False	False	True
sub-4033	True	False	True	True	True	True	True
sub-4034	True	False	True	True	True	True	True
sub-4036	True	False	True	True	True	True	True
sub-4037	True	False	True	True	True	True	True
sub-4038	True	False	True	True	True	True	True
sub-4042	True	False	True	True	True	True	True
sub-4043	True	False	True	True	True	True	True
sub-4044	True	False	True	True	True	True	True
sub-4045	True	False	True	True	True	True	True
sub-4046	True	False	True	True	True	True	True
sub-4047	True	False	True	True	True	True	True
sub-4049	True	False	True	True	True	True	True
sub-4050	True	False	True	True	True	True	True
sub-4051	True	False	True	True	True	True	True
sub-4052	True	False	True	True	True	True	True
sub-4055	True	False	True	False	False	False	True
sub-4056	True	False	True	False	True	True	True
sub-4057	True	False	True	True	True	True	True
sub-4059	True	False	True	True	True	True	True
sub-4062	True	False	True	True	True	True	True
sub-4063	True	False	True	False	True	True	True
sub-4064	True	False	True	True	True	True	True
sub-4065	True	False	True	True	False	False	True
sub-4066	True	False	True	True	True	True	True
sub-4067	True	False	True	True	False	False	True
sub-4070	True	False	True	True	True	True	True
sub-4077	True	False	True	True	True	True	True
sub-4080	True	False	True	True	True	True	True
sub-4081	True	False	True	True	True	True	True
sub-4082	True	False	True	True	True	True	True
sub-4083	True	False	True	True	False	False	True
sub-4084	True	False	True	True	True	True	True
sub-4085	True	False	True	True	True	True	True
sub-4086	True	False	True	True	True	True	True
sub-4088	True	False	True	True	True	True	True
sub-4090	True	False	True	False	False	False	True
sub-4091	True	False	True	True	True	True	True
sub-4096	True	False	True	True	True	True	True
sub-4097	True	False	True	True	True	True	True
sub-4101	True	False	True	True	True	True	True
sub-4102	True	False	True	True	True	True	True
sub-4104	True	False	True	True	True	True	True
sub-4106	True	False	True	True	True	True	True
sub-4107	True	False	True	True	True	True	True
sub-4108	True	False	True	True	True	True	True
sub-4109	True	False	True	True	True	True	True
sub-4110	True	False	True	True	True	True	True
sub-4111	True	False	True	True	True	True	True
sub-4114	True	False	True	True	True	True	True
sub-4115	True	False	True	True	True	True	True
sub-4116	True	False	True	True	True	True	True
sub-4117	True	False	True	True	True	True	True
sub-4118	True	False	True	True	True	True	True
sub-4119	True	False	True	True	True	True	True
sub-4121	True	False	True	True	True	True	True
sub-4122	True	False	True	True	True	True	True
sub-4123	True	False	True	True	True	True	True
sub-4124	True	False	True	True	True	True	True
sub-4125	True	False	True	True	True	True	True
sub-4127	True	False	True	True	True	True	True
sub-4129	True	False	True	True	False	False	True
sub-4130	True	False	True	True	True	True	True
sub-4131	True	False	True	True	True	True	True
sub-4132	True	False	True	True	True	True	True
sub-4134	True	False	True	True	True	True	True
sub-4138	True	False	True	True	True	True	True
sub-4140	True	False	True	True	True	True	True
sub-4142	True	False	True	True	True	True	True
sub-4143	True	False	True	True	True	True	True
sub-4144	True	False	True	True	True	True	True
sub-4146	True	False	True	True	True	True	True
sub-4149	True	False	True	True	True	True	True
sub-4151	True	False	True	True	True	True	True
sub-4152	True	False	True	True	True	True	True
sub-4153	True	False	True	True	True	True	True
sub-4154	False	False	False	False	True	True	True
sub-4160	True	False	True	True	True	True	True
sub-4164	True	False	True	True	True	True	True
sub-4165	False	False	False	False	True	True	True
sub-4166	False	False	False	False	True	True	True
sub-4167	False	False	False	False	True	True	True
sub-4168	True	False	True	True	True	True	True
sub-4169	True	False	True	True	True	True	True
sub-4172	True	False	True	False	True	True	True
sub-4173	True	False	True	True	True	True	True
sub-4174	True	False	True	True	True	True	True
sub-4175	True	False	True	True	True	True	True
sub-4177	True	False	True	True	True	True	True
sub-4184	True	False	True	True	True	True	True
sub-4186	True	False	True	True	True	True	True
sub-4188	True	False	True	True	True	True	True
sub-4189	True	False	True	True	True	True	True
sub-4190	True	False	True	True	True	True	True
sub-4191	True	False	True	False	True	True	True
sub-4192	False	False	False	False	False	False	True
sub-4193	True	False	True	True	False	False	True
sub-4196	True	False	True	False	False	False	True
sub-4197	False	False	False	False	False	False	True
sub-4198	False	False	False	False	False	False	True
sub-4201	False	False	False	False	False	False	True
